id,user_id,name,slug,tagline,description,logo_url,banner_url,map_marker_image_url,license_number,verified,license_status,is_live,is_directory_listing,subscription_tier,stripe_subscription_id,address,city,state,zip,phone,website,offers_delivery,offers_storefront,smokers_club_eligible,online_menu_enabled,map_visible_override,smokers_club_tab_background_url,created_at
1b533a52-df6d-41ca-922f-0c90416134ec,,Urban Smoke Dispensary,ca-uls-c10-0001290-lic,"Licensed storefront · Los Angeles County, CA","California licensed retail storefront (Commercial Retailer). Designation: Adult-Use and Medicinal. Synced from CA DCC ULS. Legal entity: The Reserve Collective Cooperative Corporation [Equity Retailer]. Premise: 9014 Broadway S, Los Angeles, CA 90003.",,,,C10-0001290-LIC,true,approved,true,true,basic,,9014 Broadway S,Los Angeles,CA,90003,(619) 453-7002,,false,true,false,false,false,,2026-03-22T23:31:23.267821+00:00
a21d74ea-8429-489f-9e57-7d23ad5e760d,,"High-Land Cannabis, LLC",ca-uls-c10-0001291-lic,"Licensed storefront · Los Angeles County, CA","California licensed retail storefront (Commercial Retailer). Designation: Adult-Use and Medicinal. Synced from CA DCC ULS. Legal entity: High-Land Cannabis, LLC [Equity Retailer]. Premise: 1344 Highland Ave N, Los Angeles, CA 90028.",,,,C10-0001291-LIC,true,approved,true,true,basic,,1344 Highland Ave N,Los Angeles,CA,90028,(422) 333-2211,,false,true,false,false,false,,2026-03-22T23:31:23.267821+00:00
b2866e5b-51c6-4222-9970-0deafe49f297,,"Vineyard Retail, LLC",ca-uls-c10-0001292-lic,"Licensed storefront · Ventura County, CA","California licensed retail storefront (Commercial Retailer). Designation: Adult-Use and Medicinal. Synced from CA DCC ULS. Legal entity: Vineyard Retail, LLC. Premise: 2561 Vineyard Ave E, Oxnard, CA 93036.",,,,C10-0001292-LIC,true,approved,true,true,basic,,2561 Vineyard Ave E,Oxnard,CA,93036,(805) 409-6691,,false,true,false,false,false,,2026-03-22T23:31:23.267821+00:00
5a534c95-5025-4727-805a-f15942266e1b,,Union Cannabis Club,ca-uls-c10-0001294-lic,"Licensed storefront · San Francisco County, CA","California licensed retail storefront (Commercial Retailer). Designation: Adult-Use and Medicinal. Synced from CA DCC ULS. Legal entity: A&E Green Solutions, Inc.. Premise: 2030 Union St, San Francisco, CA 94123.",,,,C10-0001294-LIC,true,approved,true,true,basic,,2030 Union St,San Francisco,CA,94123,(415) 509-8664,,false,true,false,false,false,,2026-03-22T23:31:23.267821+00:00
88ab8574-3f0b-400a-b366-66d10b93fe70,,OFF THE CHARTS,ca-uls-c10-0001298-lic,"Licensed storefront · Santa Barbara County, CA","California licensed retail storefront (Commercial Retailer). Designation: Adult-Use and Medicinal. Synced from CA DCC ULS. Legal entity: Hollister Distribution Inc. Premise: 5631 Calle Real, Goleta, CA 93117.",,,,C10-0001298-LIC,true,approved,true,true,basic,,5631 Calle Real,Goleta,CA,93117,(310) 710-4666,,false,true,false,false,false,,2026-03-22T23:31:23.267821+00:00
bb1f792a-929a-4633-aeec-0f7672ce9664,,Backpackboyz Hollywood,ca-uls-c10-0001299-lic,"Licensed storefront · Los Angeles County, CA","California licensed retail storefront (Commercial Retailer). Designation: Adult-Use and Medicinal. Synced from CA DCC ULS. Legal entity: Imperia Holdings, LLC [Equity Retailer]. Premise: 7677 Sunset Blvd W, Los Angeles, CA 90046.",,,,C10-0001299-LIC,true,approved,true,true,basic,,7677 Sunset Blvd W,Los Angeles,CA,90046,(323) 816-8116,,false,true,false,false,false,,2026-03-22T23:31:23.267821+00:00
22e355df-e993-4740-9823-770708deb71b,,Culture Cannabis Club,ca-uls-c10-0001300-lic,"Licensed storefront · Contra Costa County, CA","California licensed retail storefront (Commercial Retailer). Designation: Adult-Use and Medicinal. Synced from CA DCC ULS. Legal entity: Culture Club Corporate Enterprise. Premise: 1440 Concord Ave, Suite B, Concord, CA 94520.",,,,C10-0001300-LIC,true,approved,true,true,basic,,"1440 Concord Ave, Suite B",Concord,CA,94520,(619) 277-2827,,false,true,false,false,false,,2026-03-22T23:31:23.267821+00:00
d2216cbd-4c12-49b3-b71f-604351debebf,,CANNABIS 21+,ca-uls-c10-0001301-lic,"Licensed storefront · Sonoma County, CA","California licensed retail storefront (Commercial Retailer). Designation: Adult-Use and Medicinal. Synced from CA DCC ULS. Legal entity: Green Pen, LLC. Premise: 353 College Ave, Santa Rosa, CA 95401.",,,,C10-0001301-LIC,true,approved,true,true,basic,,353 College Ave,Santa Rosa,CA,95401,(619) 618-8139,,false,true,false,false,false,,2026-03-22T23:31:23.267821+00:00
1bbe3ef1-e968-46ec-b391-b4454b373219,,The Cure Company South LA,ca-uls-c10-0001302-lic,"Licensed storefront · Los Angeles County, CA","California licensed retail storefront (Commercial Retailer). Designation: Adult-Use and Medicinal. Synced from CA DCC ULS. Legal entity: Wall Street Farms, LLC. Premise: 109 101 St E, Los Angeles, CA 90003.",,,,C10-0001302-LIC,true,approved,true,true,basic,,109 101 St E,Los Angeles,CA,90003,(323) 615-0042,,false,true,false,false,false,,2026-03-22T23:31:23.267821+00:00
4c67e92b-b3d8-41e8-97e8-5139f8889b14,,Southern California Flower Company LLC,ca-uls-c10-0001303-lic,"Licensed storefront · Los Angeles County, CA","California licensed retail storefront (Commercial Retailer). Designation: Adult-Use and Medicinal. Synced from CA DCC ULS. Legal entity: Southern California Flower Company LLC. Premise: 3401 8th St W, Los Angeles, CA 90005.",,,,C10-0001303-LIC,true,approved,true,true,basic,,3401 8th St W,Los Angeles,CA,90005,(917) 699-5250,,false,true,false,false,false,,2026-03-22T23:31:23.267821+00:00
