license_number,public_name,vendor_id,name_source,is_public_dispensary,city,state
C10-0001290-LIC,Urban Smoke Dispensary,1b533a52-df6d-41ca-922f-0c90416134ec,name_column,yes,Los Angeles,CA
C10-0001291-LIC,"High-Land Cannabis, LLC",a21d74ea-8429-489f-9e57-7d23ad5e760d,name_column,yes,Los Angeles,CA
C10-0001292-LIC,"Vineyard Retail, LLC",b2866e5b-51c6-4222-9970-0deafe49f297,name_column,yes,Oxnard,CA
C10-0001294-LIC,Union Cannabis Club,5a534c95-5025-4727-805a-f15942266e1b,name_column,yes,San Francisco,CA
C10-0001298-LIC,OFF THE CHARTS,88ab8574-3f0b-400a-b366-66d10b93fe70,name_column,yes,Goleta,CA
C10-0001299-LIC,Backpackboyz Hollywood,bb1f792a-929a-4633-aeec-0f7672ce9664,name_column,yes,Los Angeles,CA
C10-0001300-LIC,Culture Cannabis Club,22e355df-e993-4740-9823-770708deb71b,name_column,yes,Concord,CA
C10-0001301-LIC,CANNABIS 21+,d2216cbd-4c12-49b3-b71f-604351debebf,name_column,yes,Santa Rosa,CA
C10-0001302-LIC,The Cure Company South LA,1bbe3ef1-e968-46ec-b391-b4454b373219,name_column,yes,Los Angeles,CA
C10-0001303-LIC,Southern California Flower Company LLC,4c67e92b-b3d8-41e8-97e8-5139f8889b14,name_column,yes,Los Angeles,CA
C10-0001304-LIC,Ceremony Dispensary #01,a27e5451-821b-4771-b1fc-17f516940806,name_column,yes,Northridge,CA
C10-0001305-LIC,Authentic Fresno Willow LLC,f737a15d-00fc-4018-b35c-f057268f7261,legal_entity_from_description,yes,Fresno,CA
C10-0001307-LIC,DopeMates LA,b146b71d-7f4f-4950-903c-e235b092f6bb,name_column,yes,Los Angeles,CA
C10-0001308-LIC,STREET KINGS,e95ce06e-8ba9-4c46-857d-916e652e2022,name_column,yes,Los Angeles,CA
C10-0001309-LIC,Eastern Sereno Group Inc.,42e854a6-d0da-4778-971d-7b483d3cd094,name_column,yes,Los Angeles,CA
C10-0001310-LIC,Mecca Hospitality Group LLC,1044045d-a55b-4851-98dd-7ac07b904ecf,name_column,yes,Los Angeles,CA
C10-0001311-LIC,Hollywood Walk of Weed,b951e384-9092-4e65-82f4-2826c39f9ad1,name_column,yes,Los Angeles,CA
C10-0001313-LIC,Trees Hollywood,f308f55f-5375-4989-86b9-14f0c53cd08b,name_column,yes,Los Angeles,CA
C10-0001314-LIC,Off the Charts,eb1ed76b-10de-48d1-a332-3b853e72053a,name_column,yes,Corona,CA
C10-0001316-LIC,MUHA MEDS,d2fdc6e2-c83c-4afb-894a-7406f1e208d7,name_column,yes,Los Angeles,CA
C10-0001317-LIC,HPC,e297ed7b-c99c-4134-9304-2a9e8ad2d4ac,name_column,yes,Oxnard,CA
C10-0001318-LIC,Elevate Granada Hills,f92ec9e3-6237-4586-ba3a-5477216d6c4e,name_column,yes,Granada Hills,CA
C10-0001319-LIC,Secret Garden,62d79da8-6690-4789-809f-c1d5b40f8f41,name_column,yes,Costa Mesa,CA
C10-0001320-LIC,"Zzz Enterprises, Inc.",1d21013f-1fe0-4435-b3e3-22e333e7da07,name_column,yes,Los Angeles,CA
C10-0001321-LIC,Traditional,9580b200-13ea-48cf-b0b0-925b1f1ceabb,name_column,yes,Westchester,CA
C10-0001322-LIC,The Cake House,2e76141e-d45c-4a81-8d90-e87ae6570575,name_column,yes,Santa Rosa,CA
C10-0001323-LIC,E7 OAKLAND LLC,1c28db8e-786d-40d3-a9ba-ddbe6bf98fa3,name_column,yes,Oakland,CA
C10-0001324-LIC,"Platinum Alliance, LLC",e6d6c1b7-f090-4693-9df1-72f22c3e4ef9,name_column,yes,Los Angeles,CA
C10-0001325-LIC,Flor,401a0c8b-861f-420b-89e5-3307bac24ad6,name_column,yes,Redwood City,CA
C10-0001326-LIC,NUG,68caf8b4-dcde-41a9-bcc2-86a265984948,name_column,yes,Bishop,CA
C10-0001327-LIC,Humboldt's Premium,f6e11a17-f179-4a28-aa89-59a1b0df655c,name_column,yes,Arcata,CA
C10-0001328-LIC,MMD San Francisco,6669c5e6-7907-432d-895a-38584016ae7a,name_column,yes,San Francisco,CA
C10-0001330-LIC,Stanley Alley Holdings LLC,0e5e246e-a88c-4a98-b0bc-41b633cff7cf,name_column,yes,N Hollywood,CA
C10-0001331-LIC,HYRBA,e6dcc6d2-ae4b-4717-ae6c-5fea6c29168d,name_column,yes,San Francisco,CA
C10-0001332-LIC,S.E. #43 LLC,19e6bdf3-2c9e-459d-9af7-ae32b0fdc9ce,name_column,yes,Los Angeles,CA
C10-0001333-LIC,"THREE DONKEYS, INC.",21afebf6-9fcb-4319-9de8-03050ea83ecb,name_column,yes,Los Angeles,CA
C10-0001334-LIC,HOOVER HOUSE,2549010c-a5a9-42bd-99f3-0f9269654c3f,name_column,yes,Los Angeles,CA
C10-0001335-LIC,STIIIZY INGLEWOOD,716dc750-7ec1-4a50-81d7-ca4069cc6d09,name_column,yes,Los Angeles,CA
C10-0001336-LIC,"Atwater Retail Partners, LLC",9cde8819-bc90-48a8-9a56-4839b41d4486,name_column,yes,Los Angeles,CA
C10-0001339-LIC,Haze,f62317b5-d63a-4192-be31-4a3b001bba89,name_column,yes,San Jose,CA
C10-0001340-LIC,Catalyst - Bellflower LLC,84ab760b-6ddc-4e70-92ae-ae09dd00bd80,name_column,yes,Bellflower,CA
C10-0001341-LIC,Kings Krop LLC [Equity Retailer],3422d0b0-c52c-403c-8139-b179f78a7a14,legal_entity_from_description,yes,Los Angeles,CA
C10-0001342-LIC,CLOVEST RETAIL,e96591be-cc4c-4578-9204-7aac0a3917f1,name_column,yes,Los Angeles,CA
C10-0001344-LIC,iLyfted Sylmar,f7caeada-14ab-47a5-87fb-f1243a6dcf87,name_column,yes,Sylmar,CA
C10-0001345-LIC,Rebud Highland Park,b7224acf-cb70-42fd-95c9-060b972b79b2,name_column,yes,Los Angeles,CA
C10-0001351-LIC,STIIIZY LA CIENEGA,5888f863-491e-42de-adf4-8f1245bb66d0,name_column,yes,Los Angeles,CA
C10-0001353-LIC,"PAC WELLNESS, LLC",42bd4928-2004-4b6c-9e20-a35fa40a9567,name_column,yes,Sherman Oaks,CA
C10-0001354-LIC,Balboa Bud,64020774-c816-4bd5-93aa-5f578d3fd8a6,name_column,yes,Granada Hills,CA
C10-0001355-LIC,Ether,3134232c-bf5d-4f3e-a3c3-7cf0e02e82bc,name_column,yes,Corona,CA
C10-0001357-LIC,FAT BUNNY,1d0b3a97-211b-40b8-9698-d724cd19c22e,name_column,yes,Los Angeles,CA
C10-0001358-LIC,GOLDSTAR INDUSTRIES LLC,558aa228-b82c-4680-ba1d-12d567a38dfa,name_column,yes,Northridge,CA
C10-0001359-LIC,Catalyst - San Bernardino LLC,de5b8152-1785-48d2-b2b3-ea86e226eb62,name_column,yes,SN Bernrdno,CA
C10-0001360-LIC,Hills and Valleys LLC,d90dc4e7-f2c7-4c0a-b987-3ae5246ab889,name_column,yes,Los Angeles,CA
C10-0001361-LIC,REBUD SYLMAR,cf286ec0-3ece-4614-ba0b-ec20daecbb16,name_column,yes,Sylmar,CA
C10-0001363-LIC,Ghost Management Retail LLC,3b3a10ae-23c8-4576-a847-0f5e8ca802f6,name_column,yes,Pacoima,CA
C10-0001365-LIC,"GDinLA, Inc.",419b521a-b463-4816-a06e-b1c173136fe3,name_column,yes,Culver City,CA
C10-0001366-LIC,"Arize Holdings, LLC",c90bf909-075e-45c3-a2bf-62dc35680805,name_column,yes,Sacramento,CA
C10-0001367-LIC,NUG,136f5f65-ac44-4a18-99c7-af392f4fa09c,name_column,yes,Red Bluff,CA
C10-0001368-LIC,STIIIZY SOUTH COAST,3e735ec4-8da1-4469-9ec6-47e36eb05335,name_column,yes,Costa Mesa,CA
C10-0001369-LIC,Carlotta Gardens LLC,2d509115-8645-424d-a46b-2724c0ca8b9c,name_column,yes,Carlotta,CA
C10-0001370-LIC,Sunset Social Club,aea01ece-bc61-40fd-a2fc-66cc81f98658,name_column,yes,W Hollywood,CA
C10-0001371-LIC,BUZZ Cannabis,116802ff-d10f-4656-997e-5ddc82005c1f,name_column,yes,Wildomar,CA
