vendor_id,license_number,name_field,legal_entity_from_description,is_public_dispensary,is_live,offers_storefront,offers_delivery,license_status,flags,city,state,slug
f737a15d-00fc-4018-b35c-f057268f7261,C10-0001305-LIC,TBD,Authentic Fresno Willow LLC,yes,true,true,false,approved,name_placeholder_legal_in_desc,Fresno,CA,ca-uls-c10-0001305-lic
3422d0b0-c52c-403c-8139-b179f78a7a14,C10-0001341-LIC,TBD,Kings Krop LLC [Equity Retailer],yes,true,true,false,approved,name_placeholder_legal_in_desc,Los Angeles,CA,ca-uls-c10-0001341-lic
4a6c08fd-4bcc-4f12-a5d5-a4679245efa7,C10-0001513-LIC,tbd,Shryne Lynwood LLC,yes,true,true,false,approved,name_placeholder_legal_in_desc,Lynwood,CA,ca-uls-c10-0001513-lic
29fe9ec1-dc37-45da-bbb1-9aadb3114529,C10-0001514-LIC,TBD,Authentic Tracy LLC,yes,true,true,false,approved,name_placeholder_legal_in_desc,Tracy,CA,ca-uls-c10-0001514-lic
d148c48c-3db7-42fe-82a7-273595d3c87d,C10-0001628-LIC,,Hong Kong LLC [Equity Retailer],no,false,true,false,approved,not_live|name_placeholder_legal_in_desc,Reseda,CA,ca-uls-c10-0001628-lic
7bab6e2a-a7e9-40d8-9824-f67e9a57826e,C9-0000013-LIC,"NORCAL HOLISTICS, INC.","Norcal Holistics, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000013-lic
1d3352c4-98af-4f86-9a03-55d9358d1cc8,C9-0000016-LIC,Dubs Green Garden,Dubs Green Garden Inc,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Luis Obispo,CA,ca-uls-c9-0000016-lic
cb6a7773-345b-407f-b748-558c080bd370,C9-0000019-LIC,"NICE GUYS DELIVERY, INC.","Nice Guys Delivery, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Rafael,CA,ca-uls-c9-0000019-lic
515a75e1-3c0b-4bf6-9add-31b82da09cc3,C9-0000024-LIC,NU CANNABIS,"Kepos Enterprises, Inc",no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,Sacramento,CA,ca-uls-c9-0000024-lic
8e801292-1c23-4f10-ba23-8042b0a5c5bb,C9-0000025-LIC,Waves,Ivy Alley LLC,no,true,false,true,approved,no_storefront_flag|not_retail_c10_heuristic,San Francisco,CA,ca-uls-c9-0000025-lic
