listing_market_slug,county_or_region_label,rank_in_region,name,slug,tagline,description,logo_url,banner_url,website,phone,address,city,state,zip,license_number,license_status,is_live,smokers_club_eligible,verified,offers_delivery,offers_storefront,is_directory_listing,subscription_tier,research_notes
greater-los-angeles,Los Angeles County,1,MedMen (Beverly Hills adjacent),la-medmen-beverly-hills-area-01,Multi-location California retailer,Well-known MSO-format dispensary brand; confirm current open locations in DCC.,https://logo.clearbit.com/medmen.com,,https://www.medmen.com,310-362-0190,8208 Santa Monica Blvd,West Hollywood,CA,90046,,approved,true,true,false,true,true,true,basic,Verify storefront still licensed at this address in DCC.
greater-los-angeles,Los Angeles County,2,STIIIZY DTLA (concept),la-stiiizy-dtla-02,Retail + house brand,Major California retail footprint under STIIIZY / Shryne-linked operations.,https://logo.clearbit.com/stiiizy.com,,https://stiiizy.com,213-995-7541,728 S Spring St,Los Angeles,CA,90014,,approved,true,true,false,true,true,true,basic,Replace with exact DCC-licensed DBA near downtown if this suite changed.
greater-los-angeles,Los Angeles County,3,The Pottery LA,la-the-pottery-03,LA cannabis retail,Independent LA retailer frequently referenced in local cannabis coverage.,,,https://thepottery.la,323-745-5155,4420 Division St,Los Angeles,CA,90065,,approved,true,true,false,true,true,true,basic,Logo: upload from brand site if Clearbit empty.
greater-los-angeles,Los Angeles County,4,Jungle Boys (TLC area),la-jungle-boys-04,Cultivation-forward retail partner stores,Brand-heavy California operator; many locations are partner DBAs — verify license holder.,https://logo.clearbit.com/jungleboys.com,,https://jungleboys.com,323-877-8389,3650 E Olympic Blvd,Los Angeles,CA,90023,,approved,true,true,false,false,true,true,basic,Confirm which entity holds the retail license at this block.
greater-los-angeles,Los Angeles County,5,Sherbinskis,la-sherbinskis-05,Premium flower retail,Boutique California cannabis retail brand.,https://logo.clearbit.com/sherbinskis.com,,https://sherbinskis.com,323-822-3454,345 N Fairfax Ave,Los Angeles,CA,90036,,approved,true,true,false,true,true,true,basic,Editorial shortlist — verify DCC license + premise before production.
greater-los-angeles,Los Angeles County,6,Connected Cannabis Co. (LA),la-connected-06,Retail + brand,California retail presence under Connected / Alien Labs ecosystem.,https://logo.clearbit.com/connectedcannabisco.com,,https://connectedcannabisco.com,323-391-3420,1151 S Hope St,Los Angeles,CA,90015,,approved,true,true,false,true,true,true,basic,Editorial shortlist — verify DCC license + premise before production.
greater-los-angeles,Los Angeles County,7,Greenwolf LA,la-greenwolf-07,LA delivery + pickup,Long-running Los Angeles delivery / hybrid retailer (verify active license type).,,,https://greenwolf.la,323-310-0420,Delivery hub — verify premise,Los Angeles,CA,90026,,approved,true,true,false,true,true,true,basic,Delivery-heavy; confirm storefront premise in DCC if required.
greater-los-angeles,Los Angeles County,8,ERBA Markets (Venice),la-erba-venice-08,Coastal LA retail,Venice-area retail format; verify current licensed entity.,https://logo.clearbit.com/erbamarkets.com,,https://www.erbamarkets.com,310-439-0196,12320 W Washington Blvd,Los Angeles,CA,90066,,approved,true,true,false,true,true,true,basic,Editorial shortlist — verify DCC license + premise before production.
greater-los-angeles,Los Angeles County,9,Kings Crew (Long Beach),la-kings-crew-long-beach-09,Long Beach retail,South LA County storefront operator.,https://logo.clearbit.com/kingscrew.com,,https://kingscrew.com,562-588-3420,6200 Pacific Coast Hwy,Long Beach,CA,90803,,approved,true,true,false,true,true,true,basic,Editorial shortlist — verify DCC license + premise before production.
greater-los-angeles,Los Angeles County,10,SweetFlower (West Hollywood),la-sweetflower-weho-10,California retail chain,Multi-location CA operator with WeHo-adjacent storefronts — verify exact premise in DCC.,https://logo.clearbit.com/sweetflower.com,,https://sweetflower.com,310-362-0420,7901 Santa Monica Blvd,West Hollywood,CA,90046,,approved,true,true,false,true,true,true,basic,Confirm suite-level address vs current license.
orange-county,Orange County,1,People’s OC,oc-peoples-oc-01,Santa Ana retail,Established Orange County dispensary.,https://logo.clearbit.com/peoplesoc.com,,https://www.peoplesoc.com,714-660-2525,2721 S Grand Ave,Santa Ana,CA,92705,,approved,true,true,false,true,true,true,basic,Editorial shortlist — verify DCC license + premise before production.
orange-county,Orange County,2,ShowGrow Orange County,oc-showgrow-02,Santa Ana flagship corridor,OC retail chain footprint.,https://logo.clearbit.com/showgrow.com,,https://www.showgrow.com,714-783-9444,1625 E St Gertrude Pl,Santa Ana,CA,92705,,approved,true,true,false,true,true,true,basic,Editorial shortlist — verify DCC license + premise before production.
orange-county,Orange County,3,Bud and Bloom,oc-bud-and-bloom-03,Santa Ana retail,Long-running Santa Ana operator.,,,https://budandbloom.com,714-783-0760,1327 E St Gertrude Pl,Santa Ana,CA,92705,,approved,true,true,false,true,true,true,basic,Editorial shortlist — verify DCC license + premise before production.
orange-county,Orange County,4,From The Earth (Santa Ana),oc-from-the-earth-04,Multi-location CA,Retail brand with Santa Ana presence.,https://logo.clearbit.com/fromtheearth.com,,https://fromtheearth.com,714-558-3459,3020 S Orange Ave,Santa Ana,CA,92707,,approved,true,true,false,true,true,true,basic,Editorial shortlist — verify DCC license + premise before production.
orange-county,Orange County,5,Blüm Santa Ana,oc-blum-santa-ana-05,Santa Ana retail,Corporate-format dispensary; verify current operator name in DCC.,,,https://blum.com,714-701-4088,2914 S Main St,Santa Ana,CA,92707,,approved,true,true,false,true,true,true,basic,Confirm Blüm vs successor branding on license.
orange-county,Orange County,6,The Artist Tree (Westminster),oc-artist-tree-westminster-06,Retail + lounge concept markets,California chain with Westminster / OC stores.,https://logo.clearbit.com/theartisttree.com,,https://theartisttree.com,714-907-5420,14182 Beach Blvd,Westminster,CA,92683,,approved,true,true,false,true,true,true,basic,Editorial shortlist — verify DCC license + premise before production.
