id,licenseNumber,licenseStatus,licenseTerm,licenseType,licenseDesignation,issueDate,expirationDate,licenseStatusDate,businessLegalName,businessDbaName,businessOwnerName,businessStructure,activity,premiseStreetAddress,premiseCity,premiseState,premiseCounty,premiseZipCode,businessEmail,businessPhone,parcelNumber,PremiseLatitude,PremiseLongitude
7061,C10-0000007-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/20/2018 00:00:00,11/20/2026 00:00:00,,"Blue Mountain Collective, Inc.","BLUE MOUNTAIN COLLECTIVE, INC.",Conrad Bonet,Corporation,Data Not Available,692 Marshall Ave,San Andreas,CA,Calaveras,95249,Conradbonet0710@gmail.Com,(209) 754-3289,Data Not Available,38.190253,-120.671625
7062,C10-0000008-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,11/20/2018 00:00:00,11/20/2026 00:00:00,,"Creekside Wellness, Inc.",Data Not Available,Jeffery Angell,Corporation,Data Not Available,12603 Highway 9,Boulder Creek,CA,Santa Cruz,95006,Whereisjeff@gmail.Com,(801) 560-9466,Data Not Available,37.11720119,-122.120471
7063,C10-0000009-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,01/31/2019 00:00:00,01/31/2027 00:00:00,,Horizon Collective Inc.,1841 El Camino,"John Swanston, Sean Eaddy",Corporation,Data Not Available,1841 El Camino Ave,Sacramento,CA,Sacramento,95815,Horizoncollective@yahoo.Com,(916) 870-8067,Data Not Available,38.611463,-121.423635
7064,C10-0000010-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,03/19/2019 00:00:00,03/18/2027 00:00:00,,"Alternatives, A Health Collective","ALTERNATIVES, A HEALTH COLLECTIVE",KAREN KISSLER,Corporation,Data Not Available,1603 Hampton Way,Santa Rosa,CA,Sonoma,95407,Mskslr@comcast.Net,(415) 250-8888,Data Not Available,38.42820076,-122.73834729
7066,C10-0000012-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,04/02/2019 00:00:00,04/01/2026 00:00:00,,Us Bloom Inc.,US Bloom,Nicholas Foster,Corporation,Data Not Available,1201 Springs Rd,Vallejo,CA,Solano,94591,Usbloom707@gmail.Com,(707) 561-0716,Data Not Available,38.105806,-122.22793
16057,C10-0000018-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,04/11/2019 00:00:00,04/10/2026 00:00:00,,"Malibu Community Collective, Inc.","MALIBU COMMUNITY COLLECTIVE, INC.","DANIEL WISE, JOHN Montgomery, MICHAEL MELLANO, Richard  Schaper",Corporation,Data Not Available,"22523 Pacific Coast Hwy, Unit 3",Malibu,CA,Los Angeles,90265,Mmmellano@gmail.Com,(760) 717-8678,Data Not Available,34.039915,-118.665568
16123,C10-0000019-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,04/12/2019 00:00:00,04/11/2027 00:00:00,,A.T.A.C.H.S. Inc. [Equity Retailer],A Therapeutic Alternative [Equity Retailer],"Andrea  Mcmanus, Kimberly Cargile, Richard Cormier",Corporation,Data Not Available,3015 H St,Sacramento,CA,Sacramento,95816,Atafrontdesk@gmail.Com,(916) 822-4717,Data Not Available,38.575439,-121.464897
16125,C10-0000021-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,04/24/2019 00:00:00,04/23/2027 00:00:00,,"Delta Health & Wellness, Inc.",Data Not Available,"Diem  Quinlan, Hung Nguyen, Toan Chu",Corporation,Data Not Available,2416 17th St,Sacramento,CA,Sacramento,95818,Deltahealthwellness@gmail.Com,(916) 231-9934,Data Not Available,38.56216035,-121.49062503
16126,C10-0000022-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,04/24/2019 00:00:00,04/23/2026 00:00:00,,"Cali Kosher, Inc",Empire Health and Wellness - Oakdale,Darron Silva,Corporation,Data Not Available,633 Armstrong Way,Oakdale,CA,Stanislaus,95361,Jdl272@yahoo.Com,(209) 216-8966,Data Not Available,37.752879,-120.833993
16127,C10-0000023-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,04/24/2019 00:00:00,04/23/2026 00:00:00,,"Sunset Herbal Corner, Inc.",Data Not Available,"Arshavir Mertkhayan, Stella  Harutyunyan",Corporation,Data Not Available,11503 Burbank Blvd,North Hollywood,CA,Los Angeles,91601,Sunsetherbalcorner@gmail.Com,(323) 459-2227,Data Not Available,34.172503,-118.382469
16129,C10-0000025-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,04/26/2019 00:00:00,04/25/2026 00:00:00,,"Perfect Union - Weed, LLC",Goldenhour Collective,David Spradlin,Limited Liability Company,Data Not Available,241 Main St,Weed,CA,Siskiyou,96094,David@parkerholdingsLLC.Com,(415) 275-1925,Data Not Available,41.424342,-122.384059
16130,C10-0000026-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,04/26/2019 00:00:00,04/25/2026 00:00:00,,Gold Flora Partners LLC,King's Crew,"Daniel Thompson, Greg Gamet, Laurie Holcomb, Marshall Minor, Richard Ormond",Limited Liability Company,Data Not Available,5630 Pacific Coast Hwy E,Long Beach,CA,Los Angeles,90814,Greg@goldflora.Com,(720) 352-2380,Data Not Available,33.774789,-118.122385
16132,C10-0000028-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/01/2019 00:00:00,04/30/2027 00:00:00,,"Sespe Creek Collective, Inc. [Equity Retailer]","SESPE CREEK COLLECTIVE, INC. [Equity Retailer]",Chelsea Sutula,Corporation,Data Not Available,"408 Bryant Cir, Unit C",Ojai,CA,Ventura,93023,Info@sespe.Org,(855) 722-9333,Data Not Available,34.44796753,-119.24298096
16134,C10-0000030-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/01/2019 00:00:00,04/30/2026 00:00:00,,"Dbo Investments Ph, LLC [Equity Retailer]",From The Earth [Equity Retailer],"Dan Zaharoni, Kintu Patel",Limited Liability Company,Data Not Available,2675 N Ventura Rd,Port Hueneme,CA,Ventura,93041,D@fteusa.Com,(805) 414-1394,Data Not Available,34.178193,-119.196402
16135,C10-0000031-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/03/2019 00:00:00,05/02/2026 00:00:00,,Eccwh LLC,Elevate,"Anna Kay, Armen Tovmasyan, Haroutyun Vardanyan, Kevin  Krivitsky",Limited Liability Company,Data Not Available,20010 Ventura Blvd,Woodland HLS,CA,Los Angeles,91364,Humboldtrelief@yahoo.Com,(310) 503-3532,Data Not Available,34.171557,-118.568668
16136,C10-0000032-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/06/2019 00:00:00,05/05/2026 00:00:00,,The Healing Center Needles,THE HEALING CENTER NEEDLES,"Amar Salim, Sarmad Hayawi",Corporation,Data Not Available,"1400 Needles Hwy, Suite 100",Needles,CA,San Bernardino,92363,Shayawi@gmail.Com,(619) 729-7785,Data Not Available,34.84895,-114.610858
16137,C10-0000033-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/06/2019 00:00:00,05/05/2026 00:00:00,,"Berkeley Patients Group, Inc.",BPG,"Etienne  Fontan, Timothy Schick",Corporation,Data Not Available,2366 San Pablo Ave,Berkeley,CA,Alameda,94702,Compliance@mybpg.Com,(510) 540-6013,Data Not Available,37.863312,-122.290679
16138,C10-0000034-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/06/2019 00:00:00,05/05/2026 00:00:00,,Emerald Perspective Cooperative Inc.,Emerald Perspective,Richard Whippo,Corporation,Data Not Available,100 W Pleasant Valley Rd,Port Hueneme,CA,Ventura,93041,Emeraldperspective@gmail.Com,(805) 350-9874,Data Not Available,34.154715,-119.20027
16140,C10-0000036-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/06/2019 00:00:00,05/05/2026 00:00:00,,"Sundial Collective, LLC","SUNDIAL COLLECTIVE, LLC",Ashley   Papazian,Limited Liability Company,Data Not Available,827 Twin View Blvd,Redding,CA,Shasta,96003,RreLLC@enlighten.LLC,(530) 953-0277,Data Not Available,40.618957,-122.371002
16141,C10-0000037-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/06/2019 00:00:00,05/05/2026 00:00:00,,"Studio City Caregivers, Inc.","Markt., 10DollarBuds","Beckie  Zihan Yue, Leonard  Wang, MIng Fong, Tony Fong",Corporation,Data Not Available,3625 Cahuenga Blvd W,Los Angeles,CA,Los Angeles,90068,Universalcollective@yahoo.Com,(323) 850-1847,Data Not Available,34.134347,-118.360189
16142,C10-0000038-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/07/2019 00:00:00,05/06/2026 00:00:00,,Lake Elsinore Community Investment Corp,Mr Nice Guy Marijuana Cannabis Dispensary Lake Elsinore,Joseph Martin,Corporation,Data Not Available,311 Minthorn St W,Lake Elsinore,CA,Riverside,92530,Mngstatelicensing@gmail.Com,(949) 293-2370,Data Not Available,33.678963,-117.327407
16228,C10-0000042-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/08/2019 00:00:00,05/07/2026 00:00:00,,Wonderland Oasis Inc.,Sugarbudz,"DILDORA DIAZ ZAYNIYEVA, Felix Tsipris",Corporation,Data Not Available,"9830 San Fernando Rd, Bldg 4 Unit 1",Pacoima,CA,Los Angeles,91331,Wonderlandoasis9830@gmail.Com,(818) 216-8217,Data Not Available,34.249443,-118.403071
16230,C10-0000044-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/10/2019 00:00:00,05/09/2026 00:00:00,,Bud And Bloom,Farmacy Santa Ana,"Benjamin Vega, Graham Farrar, Hilal El Tabsh, Kyle Kazan, Mark Vendetti",Corporation,Data Not Available,1327 St. Gertrude Pl E,Santa Ana,CA,Orange,92705,Retailcompliance@glasshousegroup.Com,(714) 576-2150,Data Not Available,33.719803,-117.852721
16231,C10-0000045-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/10/2019 00:00:00,05/09/2026 00:00:00,,Palm Desert Hwy 111 E Retail LLC,Palm Royale Collective Too,"Michael Berk, Scott  Berk, Seth Berk",Limited Liability Company,Data Not Available,74425 Highway 111,Palm Desert,CA,Riverside,92260,Tom@westcoastcannabis.Club,(805) 603-0503,Data Not Available,33.720905,-116.365724
16233,C10-0000047-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/10/2019 00:00:00,05/09/2026 00:00:00,,Agmd Logistics LLC,Ojai Greens,"Debbie Young, Jeff Millott",Limited Liability Company,Data Not Available,"410 Bryant Cir, Unit C & D",Ojai,CA,Ventura,93023,Jeff@ojaigreens.Com,(805) 861-6946,Data Not Available,34.44687653,-119.25497437
16235,C10-0000049-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/10/2019 00:00:00,05/09/2026 00:00:00,,"Organic Green Treatment Center, LLC",LA CANNABIS CO EST 2007,"ARMEN PARONYAN, ARUTYUN YEGOYAN, GARNIK PARONYAN",Limited Liability Company,Data Not Available,3791 S 2nd Ave,Los Angeles,CA,Los Angeles,90018,Armenvn@yahoo.Com,(323) 778-8540,Data Not Available,34.01882338,-118.31908672
16238,C10-0000052-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/14/2019 00:00:00,05/13/2026 00:00:00,,"San Diego Natural, Inc.",MJ Direct-Escondido,"Darren Machulsky, Dylan Lair, Lincoln Fish, Loraine-Dale Hall, Samuel Birch",Corporation,Data Not Available,8530 Nelson Way,Escondido,CA,San Diego,92026,Dmachulsky@yahoo.Com,(609) 462-4234,Data Not Available,33.275756,-117.147455
16239,C10-0000053-LIC,Active,Annual,Commercial -  Retailer,Adult-Use and Medicinal,05/14/2019 00:00:00,05/13/2026 00:00:00,,"Bcok, Inc.",Stiiizy,Brian Mitchell,Corporation,Data Not Available,3326 Mission St,San Francisco,CA,San Francisco,94110,Retail.Mission@stiizy.Com,(415) 787-6006,Data Not Available,37.743596,-122.421524
